Reference;R;G;B;Opacity;cms;isMoT
0.853666665813;0.2536449154868268;0.3987780391173123;0.769266095180197;1;false;false
0.853999999146;0.25344757782250726;0.39801698528145235;0.7689535712970739;1;false;false
0.854333332479;0.25324947020986843;0.3972559374634908;0.7686410240053042;1;false;false
0.854666665812;0.2530505920702148;0.39649489493252615;0.7683284533132972;1;false;false
0.854999999145;0.25285094281574966;0.3957338569519096;0.7680158592294951;1;false;false
0.855333332478;0.25265052184952597;0.39497282277919277;0.7677032417623715;1;false;false
0.855666665811;0.2524493285653953;0.39421179166607395;0.7673906009204328;1;false;false
0.855999999144;0.2522473623479575;0.39345076285834346;0.7670779367122179;1;false;false
0.856333332477;0.25204462257251126;0.39268973559582965;0.7667652491462985;1;false;false
0.85666666581;0.25184110860500086;0.3919287091123421;0.7664525382312781;1;false;false
0.856999999143;0.25163681980196184;0.3911676826356167;0.7661398039757938;1;false;false
0.857333332476;0.2514317555104729;0.3904066553872582;0.765827046388515;1;false;false
0.857666665809;0.25122591506809483;0.3896456265826836;0.7655142654781439;1;false;false
0.857999999142;0.25101929780282184;0.3888845954310635;0.7652014612534165;1;false;false
0.858333332475;0.25081190303302225;0.3881235611352638;0.7648886337231013;1;false;false
0.858666665808;0.2506037300673871;0.3873625228917857;0.7645757828959997;1;false;false
0.858999999141;0.25039477820486766;0.38660147989070587;0.7642629087809473;1;false;false
0.859333332474;0.25018504673462055;0.3858404313156174;0.7639500113868124;1;false;false
0.859666665807;0.24997453493595156;0.38507937634356504;0.7636370907224966;1;false;false
0.85999999914;0.24976324207825323;0.38431831414498613;0.7633241467969363;1;false;false
0.860333332473;0.2495511674209469;0.3835572438836461;0.7630111796191;1;false;false
0.860666665806;0.2493383102134199;0.3827961647165757;0.7626981891979915;1;false;false
0.860999999139;0.24912466969496888;0.38203507579400586;0.7623851755426468;1;false;false
0.861333332472;0.24891024509473325;0.3812739762593036;0.7620721386621374;1;false;false
0.861666665805;0.24869503563163237;0.3805128652489052;0.7617590785655681;1;false;false
0.861999999138;0.2484790405143072;0.3797517418922502;0.7614459952620781;1;false;false
0.862333332471;0.24826225894104792;0.378990605311714;0.7611328887608402;1;false;false
0.862666665804;0.24804469009973562;0.37822945462254;0.7608197590710634;1;false;false
0.862999999137;0.24782633316777114;0.3774682889327692;0.7605066062019884;1;false;false
0.86333333247;0.24760718731201115;0.37670710734317236;0.7601934301628931;1;false;false
0.863666665803;0.24738725168869846;0.3759459089471781;0.7598802309630883;1;false;false
0.863999999136;0.24716652544339446;0.3751846928308019;0.7595670086119206;1;false;false
0.864333332469;0.24694500771090877;0.37442345807257343;0.7592537631187711;1;false;false
0.864666665802;0.24672269761522925;0.37366220374346404;0.7589404944930555;1;false;false
0.864999999135;0.24649959426945028;0.3729009289068121;0.7586272027442247;1;false;false
0.865333332468;0.24627569677569922;0.3721396326182486;0.7583138878817656;1;false;false
0.865666665801;0.2460510042250677;0.3713783139256208;0.7580005499151988;1;false;false
0.865999999134;0.2458255156975327;0.3706169718689157;0.757687188854082;1;false;false
0.866333332467;0.24559923026188119;0.3698556054801836;0.7573738047080075;1;false;false
0.8666666658;0.2453721469756402;0.36909421378345625;0.7570603974866025;1;false;false
0.866999999133;0.24514426488499153;0.36833279579467115;0.7567469671995309;1;false;false
0.867333332466;0.24491558302470123;0.3675713505215887;0.7564335138564925;1;false;false
0.867666665799;0.24468610041803474;0.36680987696371153;0.7561200374672215;1;false;false
0.867999999132;0.24445581607668143;0.36604837411220204;0.7558065380414902;1;false;false
0.868333332465;0.244224729000671;0.3652868409497981;0.7554930155891053;1;false;false
0.868666665798;0.2439928381782917;0.3645252764507298;0.7551794701199103;1;false;false
